"","expedition_id","peak_id","peak_name","year","season","basecamp_date","highpoint_date","termination_date","termination_reason","highpoint_metres","members","member_deaths","hired_staff","hired_staff_deaths","trekking_agency","climb_success","death_on_exp","height_metres"
"1881","APIM80101","APIM","Api Main",1980,"Spring",1980-03-19,1980-05-01,1980-05-07,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,12,0,0,0,NA,0,0,7132
"1882","MAKA80101","MAKA","Makalu",1980,"Spring",1980-03-28,1980-05-15,1980-05-21,"Success (main peak)",8485,4,0,0,0,NA,1,0,8485
"1883","ANN380101","ANN3","Annapurna III",1980,"Spring",1980-03-07,1980-03-25,1980-04-02,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5335,15,3,1,0,NA,0,1,7555
"1884","MAK280101","MAK2","Makalu II",1980,"Spring",1980-04-27,1980-05-06,1980-05-17,"Illness, AMS, exhaustion, or frostbite",6400,7,0,1,0,NA,0,0,7678
"1885","LANG80101","LANG","Langtang Lirung",1980,"Spring",1980-04-07,1980-05-02,NA,"Bad weather (storms, high winds)",5600,7,0,1,0,NA,0,0,7227
"1886","AMAD80302","AMAD","Ama Dablam",1980,"Autumn",1980-10-01,1980-11-08,NA,"Success (main peak)",6814,6,0,0,0,NA,1,0,6814
"1887","GAN280301","GAN2","Ganesh II",1980,"Autumn",1980-09-13,1980-10-09,1980-10-16,"Accident (death or serious injury)",5600,14,3,5,0,NA,0,1,7118
"1888","NILN80301","NILN","Nilgiri North",1980,"Autumn",1980-09-27,1980-10-06,NA,"Route technically too difficult, lack of experience, strength, or motivation",6200,3,0,2,0,NA,0,0,7061
"1889","KAN180101","KAN1","Kande Hiunchuli North  I",1980,"Spring",1980-04-11,1980-04-29,1980-05-09,"Route technically too difficult, lack of experience, strength, or motivation",6150,7,0,5,0,NA,0,0,6521
"1890","PUMO80301","PUMO","Pumori",1980,"Autumn",1980-09-12,1980-10-21,NA,"Success (main peak)",7138,8,0,0,0,NA,1,0,7138
"1891","CHUW88301","CHUW","Chulu West",1988,"Autumn",NA,1988-10-08,NA,"Success (main peak)",6419,1,0,1,0,"None",1,0,6419
"1892","EVER89315","EVER","Everest",1989,"Autumn",1989-08-25,1989-10-21,1989-10-30,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8200,9,0,0,0,"None",0,0,8850
"1893","ANNS88201","ANNS","Annapurna South",1988,"Summer",NA,1988-08-18,NA,"Success (main peak)",7219,1,0,0,0,"Jai Himal Trekking",1,0,7219
"1894","TUKU80301","TUKU","Tukuche",1980,"Autumn",1980-09-11,1980-09-28,NA,"Success (main peak)",6920,8,0,4,0,NA,1,0,6920
"1895","BARU80301","BARU","Baruntse",1980,"Autumn",1980-09-01,1980-09-26,NA,"Success (main peak)",7152,8,0,3,0,NA,1,0,7152
"1896","GAUR80301","GAUR","Gaurishankar",1980,"Autumn",1980-08-31,1980-10-15,NA,"Bad weather (storms, high winds)",6400,35,0,3,0,NA,0,0,7135
"1897","LANG80301","LANG","Langtang Lirung",1980,"Autumn",1980-09-03,1980-10-26,NA,"Success (main peak)",7227,6,0,0,0,NA,1,0,7227
"1898","BARU80302","BARU","Baruntse",1980,"Autumn",1980-09-26,1980-10-17,NA,"Bad weather (storms, high winds)",6950,8,0,0,0,NA,0,0,7152
"1899","AMAD80301","AMAD","Ama Dablam",1980,"Autumn",1980-09-15,1980-10-18,NA,"Success (main peak)",6814,7,0,0,0,NA,1,0,6814
"1900","DHA180301","DHA1","Dhaulagiri I",1980,"Autumn",1980-09-04,1980-10-05,1980-10-17,"Accident (death or serious injury)",7100,17,1,5,0,"Mountain Travel",0,1,8167
"1901","MAKA80301","MAKA","Makalu",1980,"Autumn",1980-09-16,1980-10-20,1980-10-31,"Bad weather (storms, high winds)",8075,5,0,0,0,NA,0,0,8485
"1902","ANN380301","ANN3","Annapurna III",1980,"Autumn",1980-09-29,1980-10-15,NA,"Success (main peak)",7555,7,0,1,0,NA,1,0,7555
"1903","MANA80301","MANA","Manaslu",1980,"Autumn",1980-09-20,1980-10-14,1980-10-22,"Bad weather (storms, high winds)",7300,7,0,3,0,NA,0,0,8163
"1904","GAN380301","GAN3","Ganesh III",1980,"Autumn",1980-09-30,1980-10-16,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000,6,0,0,0,NA,0,0,7043
